prompt,completion,result
"A meat shop ships their burger patties using refrigerated trucks and vans. Each truck can take 1000 patties at a cost of 300 per trip. Each van can take 500 patties at a cost of 100 per trip. Because the trucks have difficulty moving around in the city, the number of trucks must not exceed the number of vans. The meat shop has to ship at least 50000 patties and they have a budget of 12500. How should they plan their shipment to minimize the total number of trips?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeTrips"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of trucks
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of vans

# Objective function: minimize x + y (total trips)
prob += x + y, ""MinimizeTrips""

# Constraints
prob += 1000 * x + 500 * y >= 50000   # Patties shipment requirement
prob += 300 * x + 100 * y <= 12500    # Budget constraint
prob += x <= y                       # Truck limit (x <= y)

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",75
"A florist transports his flowers to stores in small bouquets and large bouquets. A small bouquet has 5 flowers while a large bouquet has 10 flowers. The florist can transport at most 80 small bouquets and 50 large bouquets. In total, he can transport at most 70 bouquets and he must transport at least 20 large bouquets. Since small bouquets are more popular, he must transport at least twice as many small bouquets as large bouquets. How many of each bouquet should he transport to maximize the total number of flowers that reach the stores?","import pulp

# Create a LP maximization problem
prob = pulp.LpProblem(""MaximizeFlowers"", pulp.LpMaximize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of small bouquets
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of large bouquets

# Objective function: maximize 5x + 10y (total number of flowers)
prob += 5*x + 10*y, ""MaximizeFlowers""

# Constraints
prob += x <= 80                 # Maximum small bouquets
prob += y <= 50                 # Maximum large bouquets
prob += x + y <= 70             # Total bouquets limit
prob += y >= 20                 # Minimum large bouquets
prob += x >= 2*y                # Small bouquets at least twice as many as large bouquets

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",465
"A toy store decides to deliver gifts using two shipping companies, a new one and an old one. The new company can deliver 50 gifts per trip while the old company can deliver 70 gifts per trip. The new company uses 30 liters of diesel per trip while the old company uses 40 liters of diesel per trip. The toy store needs to deliver at least 1000 gifts. There can be at most 15 trips made by the new company. In order to make sure that the old company does not go out of business, at least 40% of all trips must be made by the old company. How many trips should each company make to minimize the total amount of diesel used?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeDieselUsage"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of trips by new company
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of trips by old company

# Objective function: minimize 30x + 40y (total diesel usage)
prob += 30*x + 40*y, ""MinimizeDieselUsage""

# Constraints
prob += 50*x + 70*y >= 1000   # Gift delivery requirement
prob += x <= 15              # Maximum trips by new company
prob += y >= 0.4 * (x + y)   # Minimum trips by old company (40% constraint)

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",580
"A zoo needs to transport their monkeys to the vet either by bus or by car. A bus can transport 20 monkeys per trip and takes 30 minutes. A car can transport 6 monkeys per trip and takes 15 minutes. There can be at most 10 bus trips. In addition, since the monkeys get aggressive when there are too many in one place at least 60% of the trips should be by car. If the zoo needs to transport 300 monkeys, how many trips of each should be done to minimize the total time required to transport the monkeys?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeTransportTime"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of bus trips
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of car trips

# Objective function: minimize 30x + 15y (total time)
prob += 30*x + 15*y, ""MinimizeTransportTime""

# Constraints
prob += 20*x + 6*y >= 300   # Monkey transportation requirement
prob += x <= 10             # Maximum bus trips
prob += y >= 0.6 * (x + y)  # Minimum car trips (60% constraint)

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",555
A farmer decides to move his cows to a nearby farm using helicopters and trucks. A helicopter can take 3 cows per trip and creates 5 units of pollution. A truck can take 7 cows per trip and creates 10 units of pollution. The farmer needs to transport 80 cows and he only has enough money for at most 8 truck trips. How many of each type of trip should be taken to minimize the total amount of pollution produced?,"import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizePollution"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of helicopter trips
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of truck trips

# Objective function: minimize 5x + 10y (total pollution)
prob += 5*x + 10*y, ""MinimizePollution""

# Constraints
prob += 3*x + 7*y >= 80   # Cow transportation requirement
prob += y <= 8            # Maximum truck trips

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",120
"A sand company delivers sand for playgrounds in small and large containers. A small container requires 1 person to unload and can hold 20 units of sand. A large container requires 3 people to unload and can hold 50 units of sand. Since most playgrounds are small, the number of small containers used must be thrice the number of large containers used. In addition, there must be at least 5 small containers and 3 large containers used. If the company has 100 people available, maximize the amount of sand that they can deliver.","import pulp

# Create a LP maximization problem
prob = pulp.LpProblem(""MaximizeSandDelivery"", pulp.LpMaximize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of small containers
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of large containers

# Objective function: maximize 20x + 50y (total amount of sand)
prob += 20*x + 50*y, ""MaximizeSandDelivery""

# Constraints
prob += x + 3*y <= 100    # Personnel constraint
prob += x >= 5            # Minimum 5 small containers
prob += y >= 3            # Minimum 3 large containers
prob += x >= 3*y          # Ratio constraint (small containers thrice the large containers)

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",1970
"A meal service company delivers meals to customers either on electric bikes or scooters. A bike can hold 8 meals and requires 3 units of charge. A scooter can hold 5 meals and requires 2 units of charge. Since the city is more friendly towards scooters, at most 30% of the electric vehicles can be bikes and at least 20 scooters must be used. If the company only has 200 units of charge available, how many of each vehicle should be used to maximize the number of meals that can be delivered?","import pulp

# Create a LP maximization problem
prob = pulp.LpProblem(""MaximizeMealsDelivery"", pulp.LpMaximize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of electric bikes
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of scooters

# Objective function: maximize 8x + 5y (total number of meals delivered)
prob += 8*x + 5*y, ""MaximizeMealsDelivery""

# Constraints
prob += 3*x + 2*y <= 200    # Charge constraint
prob += x <= 0.3 * (x + y)  # Maximum bikes constraint (30% of electric vehicles)
prob += y >= 20             # Minimum scooters constraint

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",513
"A car manufacturer ships their cars on large and small planes. A large plane can carry 30 cars while a small plane can carry 10 cars. Since large planes cause more pollution, the number of large planes must be less than the number of small planes. If the manufacturer wants to deliver at least 300 cars, find the minimum number of planes that can be used.","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizePlanes"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of large planes
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of small planes

# Objective function: minimize x + y (total number of planes)
prob += x + y, ""MinimizePlanes""

# Constraints
prob += 30*x + 10*y >= 300   # Car delivery requirement
prob += y - x >= 1           # Relationship between large and small planes (y > x)

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",16
"A mine sends ore to the surface in small and large wagons. A small wagon hold 20 units of ore while a large wagon holds 50 units of ore. To avoid taking up too much space on the ramps, the number of small wagons must be at least twice as much as the number or large wagons. In addition, at least 10 large wagons must be used. If 2000 units of ore need to taken to the surface, minimize the total number of wagons needed.","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeWagons"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of small wagons
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of large wagons

# Objective function: minimize x + y (total number of wagons)
prob += x + y, ""MinimizeWagons""

# Constraints
prob += 20*x + 50*y >= 2000   # Ore delivery requirement
prob += x >= 2*y              # Relationship between small and large wagons
prob += y >= 10               # Minimum number of large wagons

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",67
"A theme park transports its visitors around the park either by scooter or rickshaw. A scooter can carry 2 people while a rickshaw can carry 3 people. To avoid excessive pollution, at most 40% of the vehicles used can be rickshaws. If the park needs to transport at least 300 visitors, minimize the total number of scooters used.","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeScooters"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of scooters
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of rickshaws

# Objective function: minimize x (total number of scooters)
prob += x, ""MinimizeScooters""

# Constraints
prob += 2*x + 3*y >= 300   # Visitor transportation requirement
prob += y <= 0.4 * (x + y)  # Pollution constraint (at most 40% can be rickshaws)

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",75
"A company in the middle east delivers their packages to customers on camels and horses. A camel can carry 50 packages while a horse can carry 60 packages. A camel requires 20 units of food while a horse requires 30 units of food. The company needs to deliver at least 1000 packages and they have 450 units of food available. Since horses are not as suited for the hot climate, the number of horses cannot exceed the number of camels. How many of each animal should be used to minimize the total number of animals?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeAnimals"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of camels
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of horses

# Objective function: minimize x + y (total number of animals)
prob += x + y, ""MinimizeAnimals""

# Constraints
prob += 50*x + 60*y >= 1000   # Package delivery requirement
prob += 20*x + 30*y <= 450    # Food availability constraint
prob += y <= x                # Relationship constraint

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",19
"A snack exporter sends snacks to his customer in small and large suitcases. A small suitcase can hold 50 snacks while a large suitcase can hold 80 snacks. Most customer prefer small suitcases, and so at least twice as many small suitcases must be used as large suitcases. The exporter has available at most 70 small suitcases and 50 large suitcases. If he must send at least 15 large suitcases and can send at most 70 suitcases in total, how many of each should he send to maximize the total number of snacks that can be delivered?","#miss matching
from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize_Snacks_Delivered"", LpMaximize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of small suitcases
y = LpVariable('y', lowBound=0, cat='Integer')  # number of large suitcases

# Objective function
prob += 50 * x + 80 * y, ""Total_Number_of_Snacks""

# Constraints
prob += x >= 2 * y, ""Preference_for_Small_Suitcases""
prob += x <= 70, ""Availability_of_Small_Suitcases""
prob += y <= 50, ""Availability_of_Large_Suitcases""
prob += y >= 15, ""Minimum_Large_Suitcases""
prob += x + y <= 70, ""Total_Suitcases_Constraint""

# Solve the problem
prob.solve()

# Check for infeasibility
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{50 * value(x) + 80 * value(y)}"")",4190
"A mail delivery service in an island village delivers mail by regular and speed boats. A regular boat can carry 20 pieces of mail per trip and uses 10 liters of gas. A speed boat can carry 30 pieces of mail per trip and uses 20 liters of gas. There can be at most 20 regular boat trips. Since customers want their mail as fast as possible, at least 50% of the trips must be made by speed boats. If the service needs to deliver 1000 pieces of mail, how many trips of each should be made to minimize the total amount of gas consumed?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeGas"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, upBound=20, cat='Integer')  # number of regular boat trips
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of speed boat trips

# Objective function: minimize 10x + 20y (total amount of gas consumed)
prob += 10*x + 20*y, ""MinimizeGas""

# Constraints
prob += 20*x + 30*y >= 1000   # Mail delivery requirement
prob += y >= 0.5 * (x + y)   # Speed boat percentage constraint

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",600
"A chicken farmer has sold his chicken and they need to be transported either by bus or by car. A bus can take 100 chicken and takes 2 hours per trip. A car can take 40 chicken and takes 1.5 hours per trip. There can be at most 10 bus trips and at least 60% of the trips must be by car. If the farmer needs to transport 1200 chicken, how many trips of each should be done to minimize the total time needed to transport the chicken?","#miss matching
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Transport_Time"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of bus trips
y = LpVariable('y', lowBound=0, cat='Integer')  # number of car trips

# Objective function
prob += 2 * x + 1.5 * y, ""Total_Time""

# Constraints
prob += 100 * x + 40 * y >= 1200, ""Total_Chicken""
prob += x <= 10, ""Max_Bus_Trips""
prob += y >= 1.5 * x, ""Min_Car_Trips""
prob += x + y >= 0, ""Non-negativity""

# Solve the problem
prob.solve()

# Check for infeasibility
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{2 * value(x) + 1.5 * value(y)}"")",33.5
"Children can go to school either by van or by minibus. A van can take 6 kids and produces 7 units of pollution. A minibus can take 10 kids and produced 10 units of pollution. There are at least 150 kids than need to go to school and at most 10 minibuses can be used. In addition, the number of vans used must exceed the number of minibuses. How many of each should be used to minimize the total amount of pollution produced?","#miss matching
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Pollution"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of vans
y = LpVariable('y', lowBound=0, cat='Integer')  # number of minibuses

# Objective function
prob += 7 * x + 10 * y, ""Total_Pollution""

# Constraints
prob += 6 * x + 10 * y >= 150, ""Total_Kids""
prob += y <= 10, ""Max_Minibuses""
prob += x >= y + 1, ""Vans_Exceed_Minibuses""

# Solve the problem
prob.solve()

# Check for infeasibility
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{7 * value(x) + 10 * value(y)}"")",160
"A recycling company collects recycling from neighborhoods using small and large bins. A small bin requires 2 workers while a large bin requires 5 workers. A small bin can hold 25 units of recycling material and a large bin can hold 60 units of recycling material. The company has available 100 workers. Because most people don't recycle, the number of small bins must be three times the number of large bins. In addition, there must be at least 10 small bins and 4 large bins. How many of each bin type should be used to maximize the total amount of recycling material that can be collected?","#miss matching
from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize_Recycling"", LpMaximize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of small bins
y = LpVariable('y', lowBound=0, cat='Integer')  # number of large bins

# Objective function
prob += 25 * x + 60 * y, ""Total_Recycling""

# Constraints
prob += 2 * x + 5 * y <= 100, ""Worker_Availability""
prob += x == 3 * y, ""Bin_Ratio""
prob += x >= 10, ""Min_Small_Bins""
prob += y >= 4, ""Min_Large_Bins""

# Solve the problem
prob.solve()

# Check for infeasibility
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{25 * value(x) + 60 * value(y)}"")",1215
"A toy store hires seasonal and full-time volunteers to deliver gifts and gives them points for service. A seasonal volunteer can deliver 5 gifts and gets 2 points. A full-time volunteer can deliver 8 gifts and gets 5 points. The store can only give out 200 points. In addition, a maximum of 30% of the volunteers can be seasonal and at least 10 must be full-time. How many of each volunteer is needed to maximize the total number of gifts that can be delivered?","import pulp

# Create a LP maximization problem
prob = pulp.LpProblem(""MaximizeGifts"", pulp.LpMaximize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of seasonal volunteers
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of full-time volunteers

# Objective function: maximize 5x + 8y (total gifts delivered)
prob += 5*x + 8*y, ""MaximizeGifts""

# Constraints
prob += 2*x + 5*y <= 200   # Points constraint
prob += x <= 0.3*(x + y)   # Seasonal volunteers constraint
prob += y >= 10            # Full-time volunteers constraint

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",342
"A jam company sends its product out in small and large jars. A small jar can hold 50 ml of jam while a large jar can hold 200 ml of jam. Most store prefer the smaller size and so the number of large jars cannot exceed the number of small jars. If the company wants to ship at least 100000 ml of jam, find the minimum number of jars that can be used.","#miss match
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Jars"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # number of small jars
y = LpVariable('y', lowBound=0, cat='Integer')  # number of large jars

# Objective function
prob += x + y, ""Total_Jars""

# Constraints
prob += 50 * x + 200 * y >= 100000, ""Total_Volume""
prob += y <= x, ""Large_Jars_Limit""

# Solve the problem
prob.solve()

# Check for infeasibility
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(x) + value(y)}"")",800
"A corn farmer sends his corn to the city by either tractor or car. A tractor can carry 40 kg of corn while a car can carry 20 kg of corn. Since tractors are very slow, the number of cars used has to be at least twice the number of tractors used. If at least 500 kg of corn need to be sent to the city, minimize the total number of tractors and cars needed.","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeVehicles"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of tractors
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of cars

# Objective function: minimize x + y (total number of vehicles)
prob += x + y, ""MinimizeVehicles""

# Constraints
prob += 40*x + 20*y >= 500   # Capacity constraint
prob += y >= 2*x             # Ordering constraint

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",19
"A village hosts a banquet and provides bike and car transportation for everyone. A bike can take 3 people while a car can take 5 people. Since cars are more expensive, at most 40% of the vehicles can be cars. If the village needs to transport at least 500 people, how many of each vehicle should be used to minimize the total number of bikes needed?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeBikes"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of bikes
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of cars

# Objective function: minimize x (total number of bikes)
prob += x, ""MinimizeBikes""

# Constraints
prob += 3*x + 5*y >= 500   # Capacity constraint
prob += y <= 0.4*(x + y)   # Proportion constraint

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",80
"An industrial tire company delivers large tires for equipment to remote engineering sites either by cargo planes or ultrawide trucks. Each cargo plane can transport 10 tires per trip and costs 1000. Each ultrawide truck can transport 6 tires per trip and costs 700. The company needs to transport at least 200 tires and has available 22000. Because most remote sites don't have proper airports, the number of plane trips cannot exceed the number of ultrawide truck trips. How many trips of each should be done to minimize the total number of trips?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeTrips"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of cargo plane trips
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of ultrawide truck trips

# Objective function: minimize x + y (total number of trips)
prob += x + y, ""MinimizeTotalTrips""

# Constraints
prob += 10*x + 6*y >= 200   # Transportation constraint
prob += 1000*x + 700*y <= 22000  # Budget constraint
prob += x <= y              # Proportion constraint

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",26
"A water salesman collects water from a glacier and transports it in either small or large kegs. A small keg can hold 40 liters of water while a large keg can hold 100 liters of water. The salesman has available at most 30 small kegs and 10 large kegs. Since small kegs are easier to carry, at least twice as may small kegs must be used than large kegs. If he can transport at most 25 kegs total and at least 5 kegs must be large, how many of each should he use to maximize the total amount of glacial water he can transport?","import pulp

# Create a LP maximization problem
prob = pulp.LpProblem(""MaximizeWaterTransport"", pulp.LpMaximize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')  # number of small kegs used
y = pulp.LpVariable('y', lowBound=0, cat='Integer')  # number of large kegs used

# Objective function: maximize 40x + 100y (total amount of water transported)
prob += 40*x + 100*y, ""MaximizeWaterTransport""

# Constraints
prob += x + y <= 25  # Total number of kegs constraint
prob += x <= 30      # Small kegs availability
prob += y <= 10      # Large kegs availability
prob += x >= 2*y     # Proportion constraint
prob += y >= 5       # Minimum large kegs constraint

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",1480
"A tropical city full of islands sends mail either by submarine or by boat. A submarine can carry 100 pieces of mail per trip and uses 30 liters of gas. A boat can carry 80 pieces of mail per trip and uses 25 liters of gas. There can be at most 6 submarine trips and a minimum of 50% of the trips must be by boat. If the city needs to transport at least 1000 pieces of mail, how many of each transportation should they use to minimize the total amount of gas used?","#
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize_Gas"", LpMinimize)

# Define decision variables
x = LpVariable('x', lowBound=0, upBound=6, cat='Integer')  # number of submarine trips
y = LpVariable('y', lowBound=0, cat='Integer')  # number of boat trips

# Objective function
prob += 30 * x + 25 * y, ""Total_Gas_Used""

# Constraints
prob += 100 * x + 80 * y >= 1000, ""Total_Mail""
prob += y >= 0.5 * (x + y), ""Proportion_of_Boat_Trips""

# Solve the problem
prob.solve()

# Check for infeasibility
if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(30*x + 25*y)}"")",310
"The weather is freezing and the fish in the pond need to be transported either by helicopter or car. A helicopter can take 30 fish per trip and takes 40 minutes. A car can take 20 fish per trip and takes 30 minutes. Since helicopter trips are expensive, there can be at most 5 helicopter trips. In addition, at least 60% of the trips should be by car. If at least 300 fish need to transported, how many of each trip should be taken to minimize the total time needed?","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeTime"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, upBound=5, cat='Integer')  # number of helicopter trips
y = pulp.LpVariable('y', lowBound=0, cat='Integer')            # number of car trips

# Objective function: minimize 40x + 30y (total time needed)
prob += 40*x + 30*y, ""MinimizeTime""

# Constraints
prob += 30*x + 20*y >= 300  # Number of fish constraint
prob += 1.5*x <= y          # Minimum car trips constraint (at least 60% of trips must be by car)

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",430
A tourist spot in the mountains allows visitors to travel to the top either by hot-air balloon or gondola lift. A hot air balloon can carry 4 visitors while a gondola lift can carry 6 visitors. Each hot air balloon produces 10 units of pollution while each gondola lift produces 15 units of pollution. There can be at most 10 hot-air balloon rides and at least 70 visitors need to be transported. How many of each type of transport method should be taken to minimize the total pollution produced?,"import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizePollution"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, upBound=10, cat='Integer')  # number of hot-air balloon rides
y = pulp.LpVariable('y', lowBound=0, cat='Integer')             # number of gondola lift rides

# Objective function: minimize 10x + 15y (total pollution produced)
prob += 10*x + 15*y, ""MinimizePollution""

# Constraints
prob += 4*x + 6*y >= 70  # Number of visitors constraint

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",175
"A factory transports rice to the city in horse-drawn carts that are either medium or large size. A medium sized cart requires 2 horses and can carry 30 kg of rice. A large sized cart requires 4 horses and can carry 70 kg of rice. The factory has 60 horses available. Because the horses don't get along well, the number of medium sized carts must be three times the number of large sized carts. In addition, there must be at least 5 medium sized carts and at least 5 large sized carts. How many of each cart size should be used to maximize the amount of rice that can be transported?","import pulp

# Create a LP maximization problem
prob = pulp.LpProblem(""MaximizeRiceTransport"", pulp.LpMaximize)

# Define variables
x = pulp.LpVariable('x', lowBound=5, cat='Integer')   # number of medium sized carts
y = pulp.LpVariable('y', lowBound=5, cat='Integer')   # number of large sized carts

# Objective function: maximize 30x + 70y (amount of rice transported)
prob += 30*x + 70*y, ""MaximizeRiceTransport""

# Constraints
prob += 2*x + 4*y <= 60  # Number of horses constraint
prob += x == 3*y         # Medium to large cart ratio constraint

# Solve the problem
prob.solve()

# Print the results
if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",960
"A dog school trains labradors and golden retrievers to deliver newspaper. A labrador can deliver 7 newspapers at a time and requires 5 small bone treats for service. A golden retriever can deliver 10 newspapers at a time and requires 6 small bone treats per service. The school only has 1500 small bone treats available. In addition, at least 50 golden retrievers must be used and at most 60% of the dogs can be labradors. How many of each dog should be used to maximize the number of newspapers that can be delivered?","import pulp

# Create a LP maximization problem
prob = pulp.LpProblem(""MaximizeNewspapersDelivered"", pulp.LpMaximize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')   # number of labradors
y = pulp.LpVariable('y', lowBound=50, cat='Integer')  # number of golden retrievers

# Objective function: maximize 7x + 10y (number of newspapers delivered)
prob += 7*x + 10*y, ""MaximizeNewspapersDelivered""

# Constraints
prob += 5*x + 6*y <= 1500  # Treats constraint
prob += x <= 0.6*(x + y)   # Labrador to golden retriever ratio constraint

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",2500
"A construction company in the tropics uses cows and elephants to carry bricks. A cow can carry 20 bricks on its back while an elephant can carry 50 bricks on its back. To avoid having elephants create too much traffic, the number of elephant cannot exceed the number of cows. In addition, there can be at most twice the number of cows as elephants. If the company needs to transport at least 1000 bricks, find the minimum number of animals, cows and elephants, that can be used.","import pulp

# Create a LP minimization problem
prob = pulp.LpProblem(""MinimizeAnimalsUsed"", pulp.LpMinimize)

# Define variables
x = pulp.LpVariable('x', lowBound=0, cat='Integer')   # number of cows
y = pulp.LpVariable('y', lowBound=0, cat='Integer')   # number of elephants

# Objective function: minimize x + y (total number of animals)
prob += x + y, ""MinimizeAnimalsUsed""

# Constraints
prob += 20*x + 50*y >= 1000  # Capacity constraint (at least 1000 bricks)
prob += y <= x               # Elephant limitation (number of elephants <= number of cows)
prob += x <= 2*y             # Ratio constraint (number of cows <= 2 * number of elephants)

# Solve the problem
prob.solve()

if pulp.LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{pulp.value(prob.objective)}"")",29
